num,artist_id,artist_name,artist_mbtags,tempo,key,class
28,AROUOZZ1187B9ABE51,Willie Bobo,,127.025,8.0,10
29,ARH4Z031187B9A71F2,Faye Adams,,95.95700000000001,8.0,41
30,ARB29H41187B98F0EF,Terry Callier,classic pop and rock,110.189,6.0,37
31,AR1Y2PT1187FB5B9CE,John Wesley,,138.007,4.0,47
32,ARAJPHH1187FB5566A,The Shangri-Las,,130.1,10.0,57
33,AR0RCMP1187FB3F427,Billie Jo Spears,,160.839,4.0,47
34,AREBBGV1187FB523D2,Mike Jones (Featuring CJ_ Mello & Lil' Bran),,41.993,7.0,9
35,ARGUVEV1187B98BA17,Sierra Maestra,,189.646,9.0,20
36,ARPQ4Z01187FB3A736,Butthole Surfers,texas,130.586,4.0,44
37,ARNQAVF11F4C844C04,Despina Vandi,,128.292,8.0,10
38,ARXUT4W1187FB48BEB,Javier Navarrete,,90.932,3.0,21
39,ARDD1RC1187B9B52B4,Jacob Young,jazz and blues,89.667,1.0,18
40,ARLGWFM1187FB4AC9F,Scarlet's Remains,,115.061,7.0,10
41,ARWYVP51187B98C516,The Suicide Machines,,115.887,2.0,21
42,ARFCUN31187B9AD578,The Rolling Stones,british,139.333,9.0,15
43,AR6YDKV1187B989230,Roberto Torres,,117.271,0.0,8
44,ARV1JVD1187B9AD195,Loudon Wainwright III,easy listening soundtracks and musicals,102.428,3.0,21
45,AR7TTS41187B9B42D3,R.L. Burnside,delta blues,89.984,2.0,60
46,ART3O5Z1187B9AB043,Stevie Ray Vaughan,jazz and blues,116.721,1.0,36
47,AR5U94U1187FB5CDCF,John Hammond,folk,123.14200000000001,7.0,17
48,ARRJNTE1187FB44E12,Casiotone For The Painfully Alone,dance and electronica,141.91899999999998,0.0,28
49,AR6IRG41187B9A4D98,Ec8or,,95.596,10.0,50
50,ARS1OWB1187B99EEAD,The New York Dolls,punk,154.953,10.0,6
51,ARGMXQW1187FB54C34,Eliane Elias,brazilian,86.09100000000001,7.0,9
52,AROEL1B1187B988B90,Lost Boyz,american,90.21799999999999,7.0,48
53,AR8W8DN1187FB35ED0,The Germs,los angeles,133.144,10.0,57
54,ARUWLCL1187FB549B8,Yamandu Costa,,205.317,2.0,62
55,AR3793X1187FB50CB3,Chris Rea,rock,180.149,9.0,27
56,ARINEWW1187FB5577E,Perrey And Kingsley,,102.538,0.0,61
57,ARDGB6U1187FB3AD07,Eurythmics,british,84.164,0.0,18
58,AR2J2WF1187FB46271,Francis Dunnery,,124.175,7.0,17
59,ARUI8651187B9ACF52,John Cale,british,137.004,7.0,11
60,AR89DTT1187B9A7ED5,Suzanne Ciani,instrumental,106.33,7.0,37
61,ARMD0G81187B99A519,Vickie Winans,,107.961,10.0,40
62,AR0VZWC1187B99BA57,The Berzerker,grindcore,174.287,1.0,14
63,ARF2EHS1187B994F4E,Kings Of Leon,american,116.823,0.0,18
64,ARZKRD01187FB45FD2,Edith Lefel,,101.97200000000001,0.0,38
65,ARK4H5K1187B992F74,Taras,,127.97,10.0,3
66,AR06EB01187FB40150,NOFX,american,152.622,4.0,47
67,ARKPDBH1242077DEB1,Murskahumppa,,110.787,7.0,41
68,ARBJSO81187B9BA09B,Soda Stereo,rock en espanol,112.90299999999999,7.0,37
69,ARRC2JF1187B9B6A93,Bruce Rowland,,115.64200000000001,7.0,11
70,ARNIFX51187FB418EA,Xcultures,,125.01299999999999,1.0,28
71,ARCCRTI11F4C845308,White Heart,,113.277,5.0,53
72,ARNVH8S1187FB52F86,Heavy D / McGruff,,96.979,5.0,22
73,ARNLO5S1187B9B80CC,Van Halen,classic pop and rock,140.995,8.0,10
74,ARTDQRC1187FB4EFD4,Black Eyed Peas,pop and chart,105.206,10.0,26
75,ARK9TRQ1187B99C095,Nine Inch Nails,industrial rock,63.016999999999996,0.0,61
76,ARODBRG1187FB3FD99,Nick Cave & The Bad Seeds,seen live,144.60299999999998,9.0,6
77,ARMBYRO1187FB57419,Nadine Renee,,167.92,2.0,16
78,ARWY7I71187FB36C3D,Lesley Gore,classic pop and rock,129.122,9.0,55
79,AR6Y22S1187B99906F,Smartbomb,,132.02200000000002,0.0,8
80,ARI5P4N1187FB3F44D,Suburbs,,183.92,1.0,56
81,ARYPWUK1187B98ACED,Emperor,,89.867,9.0,33
82,ARW63KF1187B98AC48,Julien Clerc,french,119.896,2.0,21
83,AR8H87D1187FB3A841,Glen Campbell,classic pop and rock,137.29,1.0,8
84,ARLWR721187B9A03C9,T.G. Sheppard,,82.34299999999999,5.0,22
85,ARF4V431187FB3AA41,Slim Whitman,,91.48700000000001,3.0,46
86,ARBGWMW1187B9AEA3E,Savage Garden,australian,84.69,9.0,58
87,AR6G4V01187B9AD086,Queens Of The Stone Age,stoner rock,115.60600000000001,2.0,32
88,ARVQ4QM1187B98AD95,Hank Penny & The Lincoln Penny Orchestra,,126.523,7.0,11
89,AR9AM2N1187B9AD2F1,Inspiral Carpets,madchester,113.677,2.0,60
90,AR9XEVF1187B99D017,Borialis,,86.93799999999999,2.0,60
91,ARCFOZ71187FB43A0D,The Dirty Skirts,durban,141.936,0.0,18
92,ARHFEBO11F50C4825A,Flor Silvestre,,106.04899999999999,10.0,40
93,AR107SB1187B9A79F9,BA(c)zu,,126.88,8.0,5
94,ARXWAQQ1187B9AE954,Redman,soul and reggae,85.008,1.0,38
95,ARL6XZC1187FB3936E,Solistiyhtye Suomi,finnish,133.69899999999998,4.0,31
96,ARSDSMG1187B98CB59,Eddie Cantor,,118.975,10.0,6
97,AR3WMW01187B9921F7,Schizoid,,102.40799999999999,9.0,50
98,AR3C3C01187B98E800,Kai Winding,,112.006,0.0,8
99,ARDD9UN1187B98D3A7,Sonny Simmons,,45.527,1.0,52
100,ARJGNV61187B98F3B5,Mira,,85.62100000000001,4.0,22
101,ARSVI4L1187B996181,Citizen Kaned,,108.061,8.0,11
102,ARVJ0JK1187B98C9C0,The Brooklyn Tabernacle Choir,,216.195,7.0,30
103,AR4PCIG1187B98D07D,Ellen McIlwaine,singer-songwriter,132.428,7.0,17
104,AR1RHCO1187B9AF0BF,Vince Guaraldi / Bola Sete,,168.30700000000002,5.0,47
105,AR1X2H01187B98CCF2,Maurice Chevalier,french,140.95600000000002,0.0,8
106,ARBQBZV1187B99D29E,Carl Cox Vs Yousef,uk,130.016,1.0,18
107,AR9ODB41187FB459B2,Organized Konfusion,group,175.769,10.0,27
108,ARF3GX71187FB3EB66,Martina McBride,country,100.194,7.0,9
109,AR3PN3R1187FB4CEBD,Horace Andy,classic pop and rock,151.911,2.0,32
110,ARYWCFZ11E2835CFDD,Nazz,,119.691,9.0,55
111,ARUT16P1187FB532A4,Tyrone Davis,,161.976,10.0,29
112,AREOGMA1187B9908EF,Hot Tuna,folk,172.398,0.0,59
113,AR4ABL21187FB3913A,Richard Burton,,109.823,2.0,39
114,AR8YV1I1187FB45D2B,Rory Block,folk,90.101,1.0,52
115,ARR9XGB1187B9912E6,Boyz II Men,soul and reggae,116.473,8.0,11
116,ARBKUS51187B98A3AC,Howard Armstrong,,126.821,9.0,15
117,ARTB5PP1187FB523B7,Donny Hathaway,rock and indie,111.191,2.0,42
118,ARXFQDY1187B9AAF1E,Miguel Gallardo,,125.508,5.0,23
119,ARVEJ9M1187FB4DC44,Les Ogres De Barback,,137.888,4.0,0
120,ARTHEAP122BCFCD0B2,DJ X-Change featuring DJ Joey A,,150.012,6.0,11
121,ARQESNI1187FB511EE,Morel,,108.367,10.0,26
122,ARCZ20M1187FB49687,Tony Joe White,country,173.482,2.0,59
123,ARDF8K01187FB37200,Wolfmother,rock and indie,110.745,4.0,54
124,AR11NP91187B9901B4,The Roches,folk,130.02700000000002,2.0,32
125,ARBZAIL1187FB5B1C8,Bob Margolin,,110.16799999999999,10.0,58
126,ARWXHRS1241B9C7A1E,Thomas Battenstein,,97.976,9.0,33
127,ARV1P811187FB3CFC6,Jupiter Rising,,119.979,0.0,4
128,ARIU0MA1187B98D36F,Dharma Bums,,156.968,6.0,35
129,ARB4D891187B9954F7,Saafir,,188.886,5.0,25
130,ARQOC971187B9910FA,The Verve Pipe,,133.306,9.0,6
131,AR19SOA1187B98F6E6,Bob Neuwirth,american,152.267,4.0,47
132,ARTDBI61187FB48479,Marvin Sapp,,166.275,1.0,62
133,ARSE6YI1187B9B9CD2,James Hunter,jazz and blues,114.971,2.0,42
134,AR6C8EJ1187FB3F473,Nelson Ned,,144.651,9.0,57
135,AROI96Z1187B9A5304,Mish Mash,,152.005,2.0,16
136,ARIOSKN1257509BCE1,Cama,,155.07399999999998,1.0,43
137,ARI0PUX1187FB3F215,Maxi Priest,,61.971000000000004,10.0,40
138,ARYO9BU1187B9ADA88,Porcupine Tree,progressive rock,124.04,6.0,49
139,ARZ507V1187FB4425E,Ragheb Alama,,191.196,7.0,30
140,AR6XPWV1187B9ADAEB,Foo Fighters,rock,152.127,7.0,17
141,AR6PJ8R1187FB5AD70,Shakira Featuring Wyclef Jean,colombian,100.023,10.0,50
142,AR4CG3B1187FB5B861,The Avengers,punk,192.688,10.0,27
143,AR7BMMV1187FB5B2D7,Robben Ford,jazz and blues,154.322,10.0,57
144,AREYIHC1187B99CE0B,Brazilian Tropical Orchestra,,236.00599999999997,5.0,25
145,AREEMIN11F4C848971,Gil Semedo,,150.666,10.0,15
146,ARBJSO81187B9BA09B,Soda Stereo,rock en espanol,175.421,10.0,20
147,ARBGJLS11F4C83D4B9,Xmilk,,104.15299999999999,9.0,58
148,ARVNDLR1187B99CA1B,Dolce; Oscar G.,,127.27799999999999,10.0,55
149,AR5LZJD1187FB4C5E5,Britt Nicole,,160.165,6.0,17
150,AR3WMW01187B9921F7,Schizoid,,86.09100000000001,5.0,7
151,ARAEX7Y1187FB42D36,Toni Braxton Featuring Shaggy,hip hop rnb and dance hall,149.94,0.0,59
152,ARK2G5U1187FB46B34,Perrey And Kingsley,classical,135.78,0.0,43
153,ARTB56G11C8A41569D,Sven Tasnadi,,122.96700000000001,7.0,11
154,AR0GGKI1187FB391D5,Eddie,,142.024,9.0,5
155,ARZEWUR1187FB53DC8,Enthroned,,135.535,2.0,21
156,AR89DTT1187B9A7ED5,Suzanne Ciani,instrumental,139.189,2.0,32
157,ARTHKKA122BCFCBF58,Milan Band,,128.59799999999998,8.0,11
158,ARJDMBO1187B9AD118,Johnny Osbourne,,163.445,3.0,16
159,ARYJSY01187B9B7C65,Dolly Parton,country,114.027,7.0,49
160,AR77FBJ1187FB49D8D,Rance Allen Group,,111.316,7.0,37
161,ARFVYJI1187B9B8E13,Pearl Jam,grunge,105.994,4.0,54
162,ARBM4TC1187FB5CE98,Natalie Cole,jazz and blues,88.48899999999999,8.0,37
163,ARMQHX71187B9890D3,Mastodon,heavy metal,118.43299999999999,7.0,10
164,ARYXJ5A1187B9B9E56,Kiril Valeri,,96.007,10.0,33
165,ARULHJM1187B997004,Word,,187.80700000000002,9.0,29
166,AROTIMO1187FB532BF,DJ Quik,,181.115,7.0,35
167,AR0X3JJ1187FB3A9A7,Hank Locklin,,148.357,2.0,32
168,AR035N21187FB3938E,BT,trance,136.164,1.0,8
169,ARA0H5U1187FB47949,2-4 Grooves feat. Reki D.,,126.941,4.0,53
170,AR358YS1187FB44A29,The Jordanaires,,159.582,5.0,47
171,ARANOZN1187B9B373E,Descendents,punk,89.495,6.0,37
172,ARHONG11187FB3B120,L.A. Guns,,102.259,5.0,31
173,ARRA2F91187B9B4061,Bare Jr.,,107.529,10.0,26
174,ARSGZ3J1187FB3E610,Shelley Fabares,,99.40799999999999,0.0,36
175,ARMQ32V1187B9999F3,Norrie Paramor,orchestral conductor,79.73100000000001,9.0,40
176,AR8EDG51187FB41A08,Gary Hobbs,,188.502,0.0,59
177,AR1GYND1187B9A9CD3,Diesel Boy,punk,133.72899999999998,10.0,5
178,AR1PCLK1187FB5BBFF,Angelo Badalamenti,soundtrack,139.136,4.0,47
179,ARF0W6Z1187B9AC325,Cradle Of Filth,gothic metal,193.69299999999998,2.0,59
180,ARWGIOC1187FB4CBEF,Jim Chappell,,76.693,0.0,38
181,ARZHLNX1187FB4B8E7,Ladybug,,126.95,10.0,55
182,ARC25S11187B993923,Bandido,,144.812,6.0,51
183,ARKE8PP1187B997DD4,Brixx,,138.003,10.0,3
184,ARK9TRQ1187B99C095,Nine Inch Nails,industrial rock,130.284,7.0,41
185,ARGTUWC1187B9904A0,Susana Seivane,,152.013,10.0,3
186,ARFS01P1187B9A395A,Leland Martin,,159.968,4.0,25
187,ARGWIHH1187B9A79B0,Test Icicles,indie,75.031,4.0,54
188,AR5MK521187B98E0B8,Heaven 17,new wave,150.83700000000002,7.0,17
189,ARU22AM1187B9961EA,React,,143.231,10.0,55
190,ARTB56G11C8A41569D,Sven Tasnadi,,123.993,10.0,6
191,AR93RTI1187B98ECFB,Mance Lipscomb,,97.98100000000001,10.0,58
192,AR9AN471187B99E0DA,Scott Wesley Brown,,137.28799999999998,2.0,2
193,ARAR4YH1187B98BF2A,FlA!vio JosA(c),,168.32299999999998,3.0,2
194,AR567PN1187FB4B4F2,Moss,,111.079,2.0,39
195,ARYKF861187B99C74B,Pery Ribeiro,,133.009,0.0,4
196,AR4K59J1187FB3759B,Soular,,146.577,6.0,17
197,ARLSF8H1187B9A76B0,Dimmu Borgir,norwegian,140.458,6.0,10
198,ARDG9Z71187B997023,Public Image Ltd,uk,132.506,0.0,18
199,AR56P361187B9AC4DB,Gary Moore,blues rock,153.862,2.0,32
200,ARDDHGI126E2B3AA76,Pascal Sangla,,93.238,9.0,58
201,ARVML631187B99E90D,The B-52's,classic pop and rock,124.086,0.0,4
202,ARBKMHZ11F4C843491,Dakis,,66.765,2.0,60
203,ARD3LXU1187B9ABFC5,Sex Pistols,british,145.518,9.0,15
204,ARXOTQH1187FB57084,Chris Brown,,139.998,1.0,4
205,ARMG6K31187FB55677,Deekline & Wizard,,90.648,0.0,61
206,ARFUSID1241B9C9462,Daniela DessA!,,140.334,2.0,2
207,ARC6UC81187B989062,Hem,country,89.86,5.0,54
208,ARKZJ301187FB521B2,Lily Allen,uk,156.097,9.0,3
209,ARVKAWO11F50C47C9A,Pentangle,,179.50099999999998,5.0,0
210,ARHXBJI1241B9C8B7F,DJ Dips,,86.689,1.0,61
211,ARTFLEU1269FCD1FE3,Ana Bekuta,,160.261,0.0,62
212,AR0LVFQ1187B9A84E0,Jason Miles,,101.03,10.0,50
213,ARU9KWP1187B98B2A7,Busdriver,hip hop rnb and dance hall,155.03799999999998,6.0,30
214,ARZ05QG1187FB3843E,Byther Smith,,117.16799999999999,1.0,4
215,ARTEGHH1187FB435C8,Bebo & Cigala,world,132.967,2.0,19
216,ARASSX21187FB528B7,Bizarre Inc,,139.91,10.0,57
217,ARRH2S81187B98C8AA,Bongzilla,american,95.882,9.0,26
218,ARSF4161187B9B449F,The Gone Jackals,,135.175,4.0,44
219,AR87OXB1187FB39E0B,The Willis Brothers,,121.98299999999999,7.0,37
220,ARCLCFS1187B9AE476,Laurindo Almeida / Carlos Barbosa-Lima / Charlie Byrd,,169.775,9.0,20
221,ARWAPYC1187FB3FCAF,S.U.P,french,137.862,10.0,55
222,ARILV5E1187B9959C8,Boogie Pimps,pop and chart,83.32600000000001,1.0,61
223,ARHSAFX1187B98E89A,Brian Keane,,117.667,4.0,31
224,ARGR9FY1187FB4D0E7,Aberdeen,,90.90799999999999,9.0,40
225,ARVG4OK1187B9B6BD3,The Killers,rock and indie,151.953,4.0,0
226,ARGCY1Y1187B9A4FA5,Gloriana,,161.054,0.0,43
227,ARYFROT1187B9B78C2,Butterfly Temple,,159.895,8.0,49
228,ARIN12F1187FB3E92C,Grant Geissman,production music,128.219,9.0,3
229,ARMZ4PD1187B9ACBCD,20/20,,101.229,6.0,48
230,AR0CWSC1187B9AFE3F,JosA(c) Augusto,,98.859,0.0,8
231,ARD5K161187B9AC784,Orbital,british,125.975,0.0,18
232,ARUZRFN1187B98AC05,Bone Thugs-N-Harmony / Akon,,154.09,1.0,19
233,ARSTH0R1187B98951E,Moonsorrow,black metal,124.23700000000001,9.0,6
234,ARSL5SP1187B9A7AE0,N.W.A.,hip hop rnb and dance hall,97.09899999999999,9.0,26
235,ARCE0H01187B9AF741,Rage Against The Machine,funk metal,140.63,9.0,15
236,ARW4AGO1187FB4F107,Jazz Gillum,,101.41,0.0,38
237,ARZWK2R1187B98F09F,Rise Against,hardcore punk,186.25400000000002,4.0,0
238,ARDOOH01187B991055,Ultraviolence,,210.47,1.0,59
239,ARMBTFC1187FB56343,Korn,american,94.057,7.0,48
240,ARBH0MS1187FB36311,Sir Neville Marriner,conductor,100.34899999999999,4.0,54
241,ARTXEZN1187B9B8190,Agnes,,124.009,7.0,11
242,ARBM57Q1187B9AF97C,James Horner,soundtrack,90.084,9.0,58
243,ARED2DG1187FB3CB4D,Tantric,,106.698,2.0,46
244,ARMQHX71187B9890D3,Mastodon,heavy metal,89.78,2.0,42
245,ARNIFX51187FB418EA,Xcultures,,107.177,9.0,40
246,AREW1KO1187B98E42E,The Irish Tenors,,152.25799999999998,10.0,15
247,ARUJ5A41187FB3F5F1,U2,irish,134.083,3.0,19
248,ARE2BVT1187B9AC9A2,Little Joe,,106.398,5.0,54
249,ARMBTFC1187FB56343,Korn,american,160.02200000000002,10.0,3
250,AR97EHA1187B98AD5F,Blind Blake & The Royal Victoria Hotel Calypsos,ragtime,101.492,7.0,37
251,ARFTMGO1187B9A777A,Percy Faith,,86.141,0.0,61
252,AR5J8XN1187B9B712E,Extreme,,120.09700000000001,1.0,8
253,AR4B3RX1187B9A868A,Alexandre Desplat,easy listening soundtracks and musicals,128.173,7.0,17
254,ARE1N571187B98A47D,Prozak,,88.835,8.0,37
255,AR8XG9J1187FB418C1,Jerry Butler,,105.24,2.0,60
256,ARHSS201187B98A8CC,Yvette Horner,,162.385,7.0,35
257,AR02PUA1187FB52574,Delta 9,,109.63600000000001,2.0,39
258,AR6892W1187B9AC71B,Placebo,alternative rock,108.264,10.0,57
259,ARGNGRI11E2835D567,Tam Tam Go!,spanish,119.524,9.0,15
260,ARQDYV0119B866800F,Gertrudis,,97.76,9.0,26
261,ARN5W1B1187B98BE10,Warrior King,,241.877,10.0,34
262,ARBJSO81187B9BA09B,Soda Stereo,rock en espanol,91.32799999999999,7.0,37
263,ARETCTY1187FB4C033,LORE,,130.062,8.0,41
264,ARQXR6R1187FB46FD6,Soul Asylum,american underground,68.734,10.0,26
265,ARP8TSJ1187FB54852,Carl Doy with NZSO,,94.65799999999999,2.0,42
266,AR3PN3R1187FB4CEBD,Horace Andy,classic pop and rock,102.055,10.0,50
267,ARQGYP71187FB44566,Jimmy Wakely,,109.065,2.0,42
268,ARHVU591187B99F46A,The Nightraver & The Magican,,184.981,6.0,35
269,ARV2V751187FB4330F,Rah Digga (Featuring Outsidaz),,201.80200000000002,7.0,30
270,ARX9YIP1187B98A656,RUN-DMC,hip-hop,119.67,1.0,4
271,ARPPURC1187B990FB7,Bert Kaempfert And His Orchestra,,105.181,0.0,36
272,AR0X3JJ1187FB3A9A7,Hank Locklin,,165.668,9.0,27
273,ARYECMK1187FB5C081,Lady May,,188.05599999999998,1.0,62
274,AR74Q3R1187B9B24C3,Nightwish,finnish,143.97,3.0,32
275,AR1PCLK1187FB5BBFF,Angelo Badalamenti,soundtrack,61.883,6.0,45
276,AR0G47L1187B98CC6D,Frank Chacksfield,production music,0.0,7.0,45
277,ARKUP6H1187FB3F8E3,Cesar Camargo Mariano/Helio Delmiro,,163.167,9.0,34
278,ARHRP6Q1187FB3F016,Buzzhorn,,144.836,9.0,3
279,AR10USD1187B99F3F1,Silverstein,,108.499,2.0,39
280,ARTW7I31187B9A4CA9,!!!,sillyname,193.97799999999998,10.0,29
281,ARQCMZ01187B99342C,The Secret Life of Teenage Girls,,88.935,0.0,36
282,ARSZ6MA1187FB43D29,The Notorious B.I.G.,hip hop rnb and dance hall,91.69,4.0,23
283,ARDIBRT1187B9AF176,Led Zeppelin,hard rock,210.8,1.0,59
284,ARY80281187FB3E380,Sandi Thom,uk,82.205,4.0,23
285,ARXSPYZ1187B98972A,Carl Belew,,121.56299999999999,4.0,23
286,ARR2TI31187FB380FE,The Field Mice,classic pop and rock,162.68200000000002,3.0,19
287,ARNILB71187B99EC88,Billy Higgins_ Bob Berg_ Cedar Walton_ Tony Dumas,jazz,106.219,10.0,40
288,AR0OEYB1187FB4A81E,Catherine Howe,,172.33700000000002,4.0,47
289,ARH4N0N1187FB3E1F1,Malkit Singh,bhangra,210.305,5.0,25
290,ARDQO721187FB3C6D9,Rodney O & Joe Cooley,,175.393,1.0,59
291,ARIFGKC1187B9B04D5,Dean Martin,big band,128.459,0.0,43
292,AR4IWYN1187FB47DF6,Strata,,109.671,2.0,39
293,AR9YQN31187FB45B34,James Darren,,141.024,5.0,53
294,ARV3IN31187FB4AAAE,Till West & DJ Delicious,,125.55799999999999,1.0,4
295,ARCID1N1187FB51DA0,Carlos NuA+-ez,,211.327,9.0,20
296,ARKCTSM11F4C83C839,Igor Stravinsky,,147.637,10.0,3
297,AR7JBP41187FB3EA8A,Gene Clark,,98.49,9.0,50
298,ARAHQDS1187FB55275,Maysa,brazilian,137.673,10.0,57
299,ARALP6I1187B989E27,The Shirelles,american,68.283,0.0,52
300,AR23EC41187FB4805D,The American Boychoir,,0.0,2.0,39
301,AR8JSAL1187FB3CE7E,JDS,,134.014,1.0,8
302,ARL6FF81187FB5A916,Panic At The Disco,pop and chart,85.15700000000001,5.0,22
303,AR9EZGO1187B9A401F,Jan Howard,,86.162,1.0,52
304,ARLDW6Z1187FB3F2A0,Abraham Laboriel,,93.10600000000001,10.0,40
305,ARKA2YS1187B9A4060,"\MichA\""\""le Arnaud\""""",french,49.262,3.0,46
306,AR1QXAQ1187FB47FAC,Sticky Fingaz,,80.149,6.0,45
307,ARKSBCO1241B9CE46E,Dame Joan Sutherland / New Philharmonia Orchestra / Richard Bonynge,,82.42200000000001,6.0,48
308,AR76DOS1187FB5AE78,The Jeff Healey Band,classic pop and rock,107.197,7.0,37
309,AR4OHL91187B9B2EB9,Angela Dimitriou,,124.177,9.0,5
310,AR6QQY41187B990574,Danny Wilson,classic pop and rock,196.03400000000002,7.0,1
311,ARN8NCB1187FB49652,Lionel Rogg,,64.40100000000001,0.0,36
312,AREHMUC1187B98B91B,Java,,130.861,1.0,18
313,ARXG6L11187FB5695E,SWAMI featuring Asuivre,desi,90.008,10.0,33
314,ARO2EDF1187B993BD8,The Black Velvet Band,,122.17399999999999,9.0,6
315,ARU0HTX1187B98B4C6,Lisa Lynne,,95.98100000000001,2.0,21
316,ARVMPJC1187FB3B954,Pe'z,,75.955,0.0,38
317,ARDW5AW1187FB55708,Shawn Colvin,folk,210.87099999999998,8.0,20
318,ARHNL9K1187FB5730C,Stephy Tang,hong kong,105.196,4.0,31
319,ARD7TVE1187B99BFB1,Casual,,106.689,4.0,54
320,AR3JMC51187B9AE49D,Backstreet Boys,american,112.787,0.0,8
321,ARPBNLO1187FB3D52F,Tiny Tim,,93.779,6.0,48
322,AR9AWNF1187B9AB0B4,Kenny G featuring Daryl Hall,jazz,89.865,0.0,52
323,AROGWRA122988FEE45,Christos Dantis,,133.339,5.0,44
324,ARMBR4Y1187B9990EB,David Martin,,98.71799999999999,0.0,61
325,ARQ9BO41187FB5CF1F,John Davis,,74.072,5.0,22
326,ARKULSX1187FB45F84,Trafik,,130.006,8.0,41
327,ARI2JSK1187FB496EF,Nick Ingman;Gavyn Wright,production music,104.39399999999999,4.0,31
328,AREDBBQ1187B98AFF5,Eddie Calvert,uk,159.58700000000002,4.0,25
329,AR7ZKHQ1187B98DD73,Glad,a cappella,192.702,2.0,14
330,ARBGXIG122988F409D,Steel Rain,,98.11,3.0,60
331,AR7SMBG1187B9B9066,Los Manolos,,118.595,7.0,37
332,ARGCY1Y1187B9A4FA5,Gloriana,,143.601,2.0,2
333,AR36F9J1187FB406F1,Bombay Rockers,,81.319,4.0,7
334,ARNNKDK1187B98BBD5,Jinx,,89.345,6.0,48
335,AR62SOJ1187FB47BB5,Chase & Status,hip hop rnb and dance hall,174.993,4.0,47
336,ARBEBBY1187B9B43DB,Tom Petty,classic pop and rock,129.122,9.0,15
337,ARDR4AC1187FB371A1,Montserrat CaballA(c);Placido Domingo;Vicente Sardinero;Judith Blegen;Sherrill Milnes;Georg Solti,spanish,86.666,8.0,37
338,ARAGB2O1187FB3A161,Pucho & His Latin Soul Brothers,,231.86700000000002,8.0,1
339,AREDL271187FB40F44,Soul Mekanik,,190.69799999999998,5.0,25
340,ARP6N5A1187B99D1A3,Mitch Ryder,rock,97.538,9.0,26
341,ARGSAFR1269FB35070,Blingtones,,95.225,6.0,9
342,ARULZCI1241B9C8611,Luna Orbit Project,,139.993,5.0,0
343,AR0IAWL1187B9A96D0,Danilo Perez,,159.233,7.0,17
344,ARJIE2Y1187B994AB7,Line Renaud,,124.75,1.0,43
345,ARLTWXK1187FB5A3F8,King Curtis,,100.415,0.0,61
346,ARNF6401187FB57032,Sophie B. Hawkins,,105.00299999999999,9.0,40
347,ARPFHN61187FB575F6,Lupe Fiasco,hip hop rnb and dance hall,110.21799999999999,7.0,48
348,AR051KA1187B98B2FF,Wilks,,88.973,10.0,50
349,AR8IEZO1187B99055E,Marc Shaiman,composer,134.566,4.0,53
350,AR558FS1187FB45658,40 Grit,,186.882,10.0,27
351,ARVBRGZ1187FB4675A,Gwen Stefani,ska punk,113.995,1.0,4
352,ARWB3G61187FB49404,Steve Morse,,90.199,4.0,23
353,AREVWGE1187B9B890A,Bitter End,,111.03200000000001,10.0,15
354,AR2JD2Z1187B998A90,Ethel Merman,,124.184,0.0,8
